,Date,Expenditures,Year,Month
62,3/1/2010,"$4,531.00 ",2010,3
63,4/1/2010,"$4,449.00 ",2010,4
64,5/1/2010,"$4,672.00 ",2010,5
65,6/1/2010,"$4,869.00 ",2010,6
66,7/1/2010,"$5,037.00 ",2010,7
67,8/1/2010,"$5,071.00 ",2010,8
68,9/1/2010,"$5,090.00 ",2010,9
69,10/1/2010,"$5,180.00 ",2010,10
70,11/1/2010,"$5,157.00 ",2010,11
71,12/1/2010,"$5,385.00 ",2010,12
72,1/1/2011,"$5,554.00 ",2011,1
73,2/1/2011,"$5,569.00 ",2011,2
74,3/1/2011,"$5,752.00 ",2011,3
75,4/1/2011,"$5,838.00 ",2011,4
76,5/1/2011,"$6,020.00 ",2011,5
77,6/1/2011,"$6,244.00 ",2011,6
78,7/1/2011,"$6,184.00 ",2011,7
79,8/1/2011,"$6,315.00 ",2011,8
80,9/1/2011,"$5,928.00 ",2011,9
81,10/1/2011,"$5,967.00 ",2011,10
82,11/1/2011,"$5,888.00 ",2011,11
83,12/1/2011,"$5,926.00 ",2011,12
84,1/1/2012,"$5,306.00 ",2012,1
85,2/1/2012,"$5,434.00 ",2012,2
86,3/1/2012,"$5,751.00 ",2012,3
87,4/1/2012,"$5,981.00 ",2012,4
88,5/1/2012,"$5,947.00 ",2012,5
89,6/1/2012,"$6,116.00 ",2012,6
90,7/1/2012,"$5,751.00 ",2012,7
91,8/1/2012,"$6,441.00 ",2012,8
92,9/1/2012,"$6,071.00 ",2012,9
93,10/1/2012,"$5,744.00 ",2012,10
94,11/1/2012,"$6,226.00 ",2012,11
95,12/1/2012,"$6,322.00 ",2012,12
96,1/1/2013,"$7,019.00 ",2013,1
97,2/1/2013,"$7,042.00 ",2013,2
98,3/1/2013,"$7,088.00 ",2013,3
99,4/1/2013,"$7,362.00 ",2013,4
100,5/1/2013,"$7,270.00 ",2013,5
101,6/1/2013,"$7,351.00 ",2013,6
102,7/1/2013,"$7,725.00 ",2013,7
103,8/1/2013,"$7,223.00 ",2013,8
104,9/1/2013,"$7,451.00 ",2013,9
105,10/1/2013,"$7,549.00 ",2013,10
106,11/1/2013,"$7,538.00 ",2013,11
107,12/1/2013,"$7,734.00 ",2013,12
108,1/1/2014,"$7,646.00 ",2014,1
109,2/1/2014,"$7,742.00 ",2014,2
110,3/1/2014,"$7,480.00 ",2014,3
111,4/1/2014,"$7,692.00 ",2014,4
112,5/1/2014,"$7,871.00 ",2014,5
113,6/1/2014,"$7,826.00 ",2014,6
114,7/1/2014,"$8,047.00 ",2014,7
115,8/1/2014,"$8,142.00 ",2014,8
116,9/1/2014,"$8,392.00 ",2014,9
117,10/1/2014,"$8,234.00 ",2014,10
118,11/1/2014,"$8,163.00 ",2014,11
119,12/1/2014,"$8,197.00 ",2014,12
